Date,Open,High,Low,Close,Adj_Close,Volume
12-11-2018,300,302.48999,290.630005,294.070007,294.070007,10924800
13-11-2018,295,303.549988,289.100006,294.399994,294.399994,12232200
14-11-2018,300.399994,301.839996,278.299988,286.730011,286.730011,16853600
15-11-2018,285.51001,292.5,282.160004,290.059998,290.059998,9967100
16-11-2018,287.140015,291.720001,281,286.209991,286.209991,9099500
19-11-2018,283.790009,285.089996,269.149994,270.600006,270.600006,12993800
20-11-2018,254.630005,276.339996,250,266.980011,266.980011,16693800
21-11-2018,274.420013,275.339996,261.51001,262.130005,262.130005,11023000
23-11-2018,260.109985,265.5,256.839996,258.820007,258.820007,5245100
26-11-2018,260.549988,266.25,253.800003,261.429993,261.429993,12498600
27-11-2018,259.23999,269.079987,256.140015,266.630005,266.630005,11149500
28-11-2018,271.980011,284,263.339996,282.649994,282.649994,14801300
29-11-2018,282.320007,290.48999,275.5,288.75,288.75,15431500
30-11-2018,288,290.809998,283.059998,286.130005,286.130005,11860100
03-12-2018,293.190002,298.720001,284.579987,290.299988,290.299988,14117400
04-12-2018,288.130005,295.73999,274.720001,275.329987,275.329987,12800600
06-12-2018,268.329987,283.220001,267.140015,282.880005,282.880005,13074300
07-12-2018,282.480011,284.209991,263.380005,265.140015,265.140015,12466700
10-12-2018,264.190002,271.179993,260.609985,269.700012,269.700012,9605600
11-12-2018,274.079987,274.5,262.76001,265.320007,265.320007,9843200
12-12-2018,267.660004,281.769989,266.480011,274.880005,274.880005,11456700
13-12-2018,277.640015,279.320007,271.850006,276.019989,276.019989,8379300
14-12-2018,271.809998,277.670013,265,266.839996,266.839996,9915300
17-12-2018,266.51001,272.980011,261.079987,262.799988,262.799988,9634700
18-12-2018,263.299988,275.75,263.290009,270.940002,270.940002,10350100
19-12-2018,269.959991,280.869995,263.769989,266.769989,266.769989,13788400
20-12-2018,264.640015,269.899994,251.880005,260.579987,260.579987,16792900
21-12-2018,263.829987,264.5,241.289993,246.389999,246.389999,21397600
24-12-2018,242,250.649994,233.679993,233.880005,233.880005,9547600
26-12-2018,233.919998,254.5,231.229996,253.669998,253.669998,14402700
27-12-2018,250.110001,255.589996,240.100006,255.570007,255.570007,12235200
28-12-2018,257.940002,261.910004,249.800003,256.079987,256.079987,10992800
31-12-2018,260.160004,270.100006,260,267.660004,267.660004,13508900
02-01-2019,259.279999,269.75,256.579987,267.660004,267.660004,11679500
03-01-2019,270.200012,275.790009,264.429993,271.200012,271.200012,14969600
04-01-2019,281.880005,297.799988,278.540009,297.570007,297.570007,19330100
07-01-2019,302.100006,316.799988,301.649994,315.339996,315.339996,18620100
08-01-2019,319.980011,320.589996,308.01001,320.269989,320.269989,15359200
09-01-2019,317.709991,323.350006,313.5,319.959991,319.959991,13343200
10-01-2019,314.570007,325.369995,312.5,324.660004,324.660004,13472500
11-01-2019,330.959991,341.089996,328.519989,337.589996,337.589996,19500400
14-01-2019,334.23999,335.480011,329.130005,332.940002,332.940002,10499600
15-01-2019,349.600006,357.220001,347,354.640015,354.640015,21181200
16-01-2019,354,358.850006,348.109985,351.390015,351.390015,15385500
17-01-2019,349.5,355.790009,346.410004,353.190002,353.190002,18871200
18-01-2019,351.970001,353,336.730011,339.100006,339.100006,26621000
22-01-2019,334.890015,336.880005,321.029999,325.160004,325.160004,17941400
23-01-2019,328.25,331.75,318.600006,321.98999,321.98999,13480100
24-01-2019,320.600006,331.799988,319,326.670013,326.670013,11131600
25-01-2019,328.720001,340,328.51001,338.049988,338.049988,11152900
28-01-2019,334.700012,336.299988,328.880005,335.660004,335.660004,8652100
29-01-2019,335.869995,338.220001,328.149994,328.899994,328.899994,7655200
30-01-2019,332.75,341.779999,330.799988,340.660004,340.660004,9234500
31-01-2019,339.679993,345.98999,338.089996,339.5,339.5,8535500
01-02-2019,337.179993,346.839996,336.5,339.850006,339.850006,9827800
04-02-2019,342.600006,352,341.299988,351.339996,351.339996,9051400
